"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:02:42.6838018 PM","notepad++.exe","8276","QueryNetworkOpenInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, AllocationSize: 1/1/1601 1:00:00 AM, EndOfFile: 1/1/1601 1:00:00 AM, FileAttributes: A"
"7:02:42.6838085 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6838190 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6838864 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6839184 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6839290 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6839352 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6839457 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6839835 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6840156 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
