"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:01:19.3677380 PM","NOTEPAD.EXE","6820","QueryDirectory","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: haslo0.txt, 2: haslo0.txt"
"8:01:19.3677556 PM","NOTEPAD.EXE","6820","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:19.4372085 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4372279 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.4372368 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.4516748 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4516907 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.4516980 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.4518182 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4520048 PM","Explorer.EXE","4732","QueryDirectory","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: haslo0.txt, 2: haslo0.txt"
"8:01:19.4597170 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:19.4736966 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4737157 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.4737387 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.4738279 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4738400 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.4738466 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.4809468 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4809842 PM","Explorer.EXE","4732","FileSystemControl","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"8:01:19.4812706 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.4921309 PM","Explorer.EXE","4732","QueryDirectory","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: inz tests, 2: inz tests"
"8:01:19.4923133 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.4923339 PM","Explorer.EXE","4732","QueryNetworkOpenInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, AllocationSize: 1/1/1601 1:00:00 AM, EndOfFile: 1/1/1601 1:00:00 AM, FileAttributes: D"
"8:01:19.4923444 PM","Explorer.EXE","4732","FileSystemControl","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"8:01:19.4923594 PM","Explorer.EXE","4732","QueryObjectIdInformationVolume","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","ObjectId: DE4477C4C844B840B3D8E4AA97058BB0"
"8:01:19.4925944 PM","Explorer.EXE","4732","QueryNameInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Name: \Users\Radoslaw Motyka\inz tests"
"8:01:19.4926223 PM","Explorer.EXE","4732","QueryNameInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Name: \Users\Radoslaw Motyka\inz tests"
"8:01:19.4926712 PM","Explorer.EXE","4732","QueryNormalizedNameInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:19.4926927 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
